Año,Trimestre,Provincia,Banda ancha fija,Dial up,total
2015,2,Buenos Aires,3,13.0,16.0
2015,2,Capital Federal,1,10.0,11.0
2015,2,Catamarca,26,13.0,39.0
2015,2,Chaco,84,16.0,100.0
2015,2,Chubut,62,2.0,64.0
2015,2,Córdoba,610,236.0,846.0
2015,2,Corrientes,83,28.0,111.0
2015,2,Entre Ríos,169,183.0,352.0
2015,2,Formosa,27,37.0,64.0
2015,2,Jujuy,38,2.0,40.0
2015,2,La Pampa,64,500.0,564.0
2015,2,La Rioja,16,18.0,34.0
2015,2,Mendoza,169,2.0,171.0
2015,2,Misiones,89,7.0,96.0
2015,2,Neuquén,96,2.0,98.0
2015,2,Río Negro,98,1.0,99.0
2015,2,Salta,98,3.0,101.0
2015,2,San Juan,51,621.0,672.0
2015,2,San Luis,13,317.0,330.0
2015,2,Santa Cruz,25,379.0,404.0
2015,2,Santa Fe,546,649.0,1195.0
2015,2,Santiago Del Estero,39,3.0,42.0
2015,2,Tierra Del Fuego,33,619.0,652.0
2015,2,Tucumán,141,42.0,183.0
2015,1,Buenos Aires,3,15.0,18.0
2015,1,Capital Federal,1,12.0,13.0
2015,1,Catamarca,25,20.0,45.0
2015,1,Chaco,81,31.0,112.0
2015,1,Chubut,63,2.0,65.0
2015,1,Córdoba,597,294.0,891.0
2015,1,Corrientes,81,43.0,124.0
2015,1,Entre Ríos,166,231.0,397.0
2015,1,Formosa,27,43.0,70.0
2015,1,Jujuy,37,3.0,40.0
2015,1,La Pampa,62,542.0,604.0
2015,1,La Rioja,16,23.0,39.0
2015,1,Mendoza,168,2.0,170.0
2015,1,Misiones,85,7.0,92.0
2015,1,Neuquén,93,2.0,95.0
2015,1,Río Negro,96,1.0,97.0
2015,1,Salta,97,18.0,115.0
2015,1,San Juan,51,702.0,753.0
2015,1,San Luis,13,354.0,367.0
2015,1,Santa Cruz,26,424.0,450.0
2015,1,Santa Fe,536,797.0,1333.0
2015,1,Santiago Del Estero,39,8.0,47.0
2015,1,Tierra Del Fuego,33,730.0,763.0
2015,1,Tucumán,138,92.0,230.0
2014,4,Buenos Aires,3,15.0,18.0
2014,4,Capital Federal,1,12.0,13.0
2014,4,Catamarca,25,21.0,46.0
2014,4,Chaco,66,37.0,103.0
2014,4,Chubut,67,2.0,69.0
2014,4,Córdoba,590,319.0,909.0
2014,4,Corrientes,66,54.0,120.0
2014,4,Entre Ríos,141,246.0,387.0
2014,4,Formosa,26,51.0,77.0
2014,4,Jujuy,36,3.0,39.0
2014,4,La Pampa,57,567.0,624.0
2014,4,La Rioja,16,23.0,39.0
2014,4,Mendoza,168,2.0,170.0
2014,4,Misiones,77,7.0,84.0
2014,4,Neuquén,93,2.0,95.0
2014,4,Río Negro,95,1.0,96.0
2014,4,Salta,94,26.0,120.0
2014,4,San Juan,51,729.0,780.0
2014,4,San Luis,13,359.0,372.0
2014,4,Santa Cruz,25,436.0,461.0
2014,4,Santa Fe,528,938.0,1466.0
2014,4,Santiago Del Estero,39,9.0,48.0
2014,4,Tierra Del Fuego,28,741.0,769.0
2014,4,Tucumán,137,95.0,232.0
2014,3,Buenos Aires,3,14.0,17.0
2014,3,Capital Federal,1,11.0,12.0
2014,3,Catamarca,25,21.0,46.0
2014,3,Chaco,64,36.0,100.0
2014,3,Chubut,67,2.0,69.0
2014,3,Córdoba,585,200.0,785.0
2014,3,Corrientes,64,33.0,97.0
2014,3,Entre Ríos,137,115.0,252.0
2014,3,Formosa,26,64.0,90.0
2014,3,Jujuy,34,2.0,36.0
2014,3,La Pampa,62,564.0,626.0
2014,3,La Rioja,16,23.0,39.0
2014,3,Mendoza,166,2.0,168.0
2014,3,Misiones,75,0.0,75.0
2014,3,Neuquén,100,2.0,102.0
2014,3,Río Negro,97,1.0,98.0
2014,3,Salta,93,25.0,118.0
2014,3,San Juan,51,748.0,799.0
2014,3,San Luis,13,363.0,376.0
2014,3,Santa Cruz,26,446.0,472.0
2014,3,Santa Fe,520,691.0,1211.0
2014,3,Santiago Del Estero,38,9.0,47.0
2014,3,Tierra Del Fuego,28,755.0,783.0
2014,3,Tucumán,132,88.0,220.0
2014,2,Buenos Aires,3,14.0,17.0
2014,2,Capital Federal,1,11.0,12.0
2014,2,Catamarca,25,23.0,48.0
2014,2,Chaco,63,36.0,99.0
2014,2,Chubut,69,2.0,71.0
2014,2,Córdoba,577,205.0,782.0
2014,2,Corrientes,63,33.0,96.0
2014,2,Entre Ríos,135,115.0,250.0
2014,2,Formosa,26,65.0,91.0
2014,2,Jujuy,34,2.0,36.0
2014,2,La Pampa,55,580.0,635.0
2014,2,La Rioja,16,23.0,39.0
2014,2,Mendoza,165,2.0,167.0
2014,2,Misiones,75,0.0,75.0
2014,2,Neuquén,90,2.0,92.0
2014,2,Río Negro,95,1.0,96.0
2014,2,Salta,92,25.0,117.0
2014,2,San Juan,51,755.0,806.0
2014,2,San Luis,13,364.0,377.0
2014,2,Santa Cruz,27,459.0,486.0
2014,2,Santa Fe,512,605.0,1117.0
2014,2,Santiago Del Estero,38,9.0,47.0
2014,2,Tierra Del Fuego,27,766.0,793.0
2014,2,Tucumán,132,88.0,220.0
2014,1,Buenos Aires,3,14.0,17.0
2014,1,Capital Federal,1,11.0,12.0
2014,1,Catamarca,24,23.0,47.0
2014,1,Chaco,63,36.0,99.0
2014,1,Chubut,68,2.0,70.0
2014,1,Córdoba,567,205.0,772.0
2014,1,Corrientes,62,33.0,95.0
2014,1,Entre Ríos,134,115.0,249.0
2014,1,Formosa,25,87.0,112.0
2014,1,Jujuy,34,2.0,36.0
2014,1,La Pampa,54,592.0,646.0
2014,1,La Rioja,16,23.0,39.0
2014,1,Mendoza,164,2.0,166.0
2014,1,Misiones,74,0.0,74.0
2014,1,Neuquén,88,2.0,90.0
2014,1,Río Negro,94,1.0,95.0
2014,1,Salta,91,25.0,116.0
2014,1,San Juan,51,755.0,806.0
2014,1,San Luis,12,364.0,376.0
2014,1,Santa Cruz,26,460.0,486.0
2014,1,Santa Fe,506,612.0,1118.0
2014,1,Santiago Del Estero,37,9.0,46.0
2014,1,Tierra Del Fuego,27,766.0,793.0
2014,1,Tucumán,130,88.0,218.0
